ticker,crsp_fundno,caldt,dnav,dret
LQD,016419,20140218,116.3500000,0.003277
LQD,016419,20160427,119.6500000,0.005040
LQD,016419,20141229,118.8500000,0.003377
LQD,016419,20130730,114.3300000,-0.000350
LQD,016419,20161215,115.7700000,-0.001725
LQD,016419,20150318,120.9900000,0.007159
LQD,016419,20130819,111.3100000,-0.002420
LQD,016419,20131029,115.3800000,0.000694
LQD,016419,20160822,123.7000000,0.003814
LQD,016419,20140505,118.1000000,-0.001522
LQD,016419,20150604,116.6300000,0.004652
LQD,016419,20151203,114.6200000,-0.012322
LQD,016419,20140915,117.6600000,0.000851
LQD,016419,20160406,118.6700000,-0.001850
LQD,016419,20130913,111.3700000,-0.001076
LQD,016419,20170523,119.3200000,-0.002591
LQD,016419,20131213,113.9700000,0.001758
LQD,016419,20161212,116.0500000,0.000000
LQD,016419,20140319,115.7900000,-0.004043
LQD,016419,20170217,117.4600000,0.001535
LQD,016419,20150814,115.4000000,0.000000
LQD,016419,20140922,118.1100000,0.002206
LQD,016419,20140307,115.5700000,-0.004308
LQD,016419,20140403,116.2100000,0.001897
LQD,016419,20141114,118.5000000,0.000845
LQD,016419,20140808,118.9000000,-0.000420
LQD,016419,20160428,119.8100000,0.001337
LQD,016419,20180507,114.5700000,0.000262
LQD,016419,20130703,113.5900000,-0.001143
LQD,016419,20130708,112.9000000,0.006149
LQD,016419,20170918,120.7100000,-0.000910
LQD,016419,20130821,111.4600000,-0.001881
LQD,016419,20180601,114.8200000,-0.004505
LQD,016419,20131007,113.5100000,0.002561
LQD,016419,20170425,118.2800000,-0.003874
LQD,016419,20131120,113.8200000,-0.003240
LQD,016419,20161129,117.1900000,0.001966
LQD,016419,20161104,120.5400000,0.001995
LQD,016419,20151211,115.6200000,0.004518
LQD,016419,20140714,118.6300000,-0.001851
LQD,016419,20150819,115.6400000,0.002340
LQD,016419,20141014,120.0000000,0.004773
LQD,016419,20141003,118.5200000,0.000760
LQD,016419,20141201,119.1100000,-0.003960
LQD,016419,20140310,115.5800000,0.000087
LQD,016419,20140508,118.3700000,0.001015
LQD,016419,20141226,118.4500000,0.001183
LQD,016419,20140814,119.2700000,0.001764
LQD,016419,20140718,119.0700000,-0.001509
LQD,016419,20160301,113.9200000,-0.004747
LQD,016419,20151007,116.0200000,0.001813
LQD,016419,20171208,120.8200000,0.000166
LQD,016419,20180116,120.8800000,0.001077
LQD,016419,20130718,114.5000000,-0.001744
LQD,016419,20130830,113.1200000,0.001860
LQD,016419,20130809,113.9600000,-0.000526
LQD,016419,20130903,112.1000000,-0.005783
LQD,016419,20180622,113.8900000,-0.000351
LQD,016419,20130925,113.7700000,0.001232
LQD,016419,20180718,115.2000000,-0.000521
LQD,016419,20131017,114.5700000,0.006413
LQD,016419,20170511,118.1400000,0.001611
LQD,016419,20131108,113.2300000,-0.009535
LQD,016419,20131203,113.9000000,0.001231
LQD,016419,20181207,112.2100000,0.003129
LQD,016419,20170227,118.2100000,-0.002952
LQD,016419,20160714,123.2600000,-0.003960
LQD,016419,20140121,115.2700000,0.000868
LQD,016419,20140212,115.3700000,-0.001039
LQD,016419,20160120,113.8500000,-0.002541
LQD,016419,20151204,115.1600000,0.004711
LQD,016419,20140219,116.0800000,-0.002321
LQD,016419,20140515,119.0700000,0.001430
LQD,016419,20160318,117.3400000,0.003678
LQD,016419,20140609,118.1200000,-0.000508
LQD,016419,20160418,119.2000000,-0.001424
LQD,016419,20140701,118.4500000,-0.003272
LQD,016419,20151016,116.6000000,0.000515
LQD,016419,20150731,116.2400000,0.003973
LQD,016419,20150526,118.4800000,0.006200
LQD,016419,20150430,119.8200000,-0.003576
LQD,016419,20140903,119.3700000,-0.001171
LQD,016419,20150414,122.1300000,0.003533
LQD,016419,20141007,119.4400000,0.005133
LQD,016419,20150327,121.3300000,0.003806
LQD,016419,20150122,121.2500000,-0.001975
LQD,016419,20150220,120.4100000,0.000415
LQD,016419,20140227,116.9800000,0.000599
LQD,016419,20150316,120.0500000,0.000417
LQD,016419,20141218,118.6700000,-0.003192
LQD,016419,20150206,121.2500000,-0.007368
LQD,016419,20150429,120.2500000,-0.007265
LQD,016419,20140529,119.4900000,-0.001671
LQD,016419,20140422,117.3000000,0.000085
LQD,016419,20150629,115.7000000,0.007050
LQD,016419,20140925,118.3000000,0.003308
LQD,016419,20150825,115.1100000,-0.006816
LQD,016419,20150908,115.2900000,-0.003802
LQD,016419,20150521,117.9800000,0.003317
LQD,016419,20140826,119.8300000,0.000668
LQD,016419,20151030,116.2600000,0.000861
LQD,016419,20150707,116.6300000,0.003701
LQD,016419,20160114,114.2600000,-0.006521
LQD,016419,20160122,113.5100000,-0.000088
LQD,016419,20150805,115.3900000,-0.004057
LQD,016419,20150923,116.0900000,-0.001462
LQD,016419,20160613,120.6500000,-0.000331
LQD,016419,20160302,114.1100000,0.001668
LQD,016419,20160517,119.3400000,-0.000335
LQD,016419,20160926,122.8900000,0.001222
LQD,016419,20160921,121.8800000,0.002055
LQD,016419,20160812,123.3400000,0.004643
LQD,016419,20170124,117.0300000,-0.005101
LQD,016419,20181016,113.1800000,0.001150
LQD,016419,20170620,120.8900000,0.002987
LQD,016419,20180618,114.4900000,-0.001918
LQD,016419,20130805,113.6100000,-0.002459
LQD,016419,20171107,120.9700000,-0.000413
LQD,016419,20171205,121.1500000,0.002814
LQD,016419,20171201,120.8000000,0.004914
LQD,016419,20180412,116.7600000,-0.002307
LQD,016419,20130801,113.3000000,-0.003334
LQD,016419,20180123,119.9800000,0.002758
LQD,016419,20180207,118.1400000,-0.004130
LQD,016419,20180214,116.6100000,-0.003419
LQD,016419,20171006,120.6500000,-0.000828
LQD,016419,20180326,115.9600000,0.000518
LQD,016419,20170817,120.7400000,0.001410
LQD,016419,20170830,121.1400000,-0.000165
LQD,016419,20180710,115.0100000,0.000870
LQD,016419,20170807,120.6400000,0.000332
LQD,016419,20130927,113.6800000,0.001233
LQD,016419,20170719,120.9300000,0.000165
LQD,016419,20180808,115.0400000,-0.001649
LQD,016419,20170629,120.4400000,-0.002402
LQD,016419,20170612,119.8700000,-0.000750
LQD,016419,20170501,118.0300000,-0.003438
LQD,016419,20131104,114.4500000,0.000962
LQD,016419,20131114,113.9000000,0.004144
LQD,016419,20170614,120.7700000,0.006584
LQD,016419,20131126,114.7100000,0.003236
LQD,016419,20131209,113.5900000,0.002825
LQD,016419,20181213,112.5800000,0.000889
LQD,016419,20170222,117.5800000,0.000596
LQD,016419,20160628,121.7200000,0.001234
LQD,016419,20160727,123.3000000,0.003173
LQD,016419,20161123,116.5200000,-0.001628
LQD,016419,20160914,121.3200000,0.003640
LQD,016419,20161102,120.5000000,-0.000332
LQD,016419,20160315,116.2400000,0.002155
LQD,016419,20161013,121.9700000,0.002960
LQD,016419,20160224,114.1800000,0.000350
LQD,016419,20161220,115.8800000,-0.001809
LQD,016419,20160601,118.7900000,-0.000804
LQD,016419,20160516,119.3800000,-0.003922
LQD,016419,20160321,117.0500000,-0.002471
LQD,016419,20160411,118.9600000,0.000252
LQD,016419,20160308,115.3900000,0.007069
LQD,016419,20160208,114.1600000,0.005195
LQD,016419,20160125,113.6900000,0.001586
LQD,016419,20151124,115.5500000,-0.000087
LQD,016419,20140722,119.2500000,0.000336
LQD,016419,20140813,119.0600000,0.002442
LQD,016419,20150601,117.4500000,-0.007428
LQD,016419,20150701,114.8500000,-0.006123
LQD,016419,20150618,115.7000000,-0.003274
LQD,016419,20150610,115.1400000,-0.004324
LQD,016419,20150511,117.7200000,-0.007838
LQD,016419,20140610,117.9500000,-0.001439
LQD,016419,20141022,119.9800000,-0.001082
LQD,016419,20150331,121.5700000,0.001565
LQD,016419,20140421,117.2900000,0.000939
LQD,016419,20140320,115.7400000,-0.000432
LQD,016419,20150108,120.4600000,-0.003392
LQD,016419,20140303,117.0600000,0.003296
LQD,016419,20150202,123.0600000,0.001422
LQD,016419,20140221,116.1100000,0.002764
LQD,016419,20150115,121.9300000,0.003209
LQD,016419,20150130,123.2200000,0.005385
LQD,016419,20150105,120.3300000,0.005431
LQD,016419,20160630,122.1700000,0.001722
LQD,016419,20140324,116.4100000,0.002238
LQD,016419,20150227,121.4200000,-0.001727
LQD,016419,20140401,116.3000000,-0.001030
LQD,016419,20140313,116.3200000,0.003797
LQD,016419,20140115,114.7800000,-0.001131
LQD,016419,20141125,119.1300000,0.003792
LQD,016419,20141224,118.3100000,-0.000992
LQD,016419,20141107,118.6200000,0.003214
LQD,016419,20150406,121.5800000,-0.000904
LQD,016419,20150410,121.6100000,0.000988
LQD,016419,20141208,118.7800000,0.003803
LQD,016419,20150427,121.7200000,0.000905
LQD,016419,20150304,120.2600000,-0.000665
LQD,016419,20140929,118.0600000,0.001527
LQD,016419,20140611,117.9900000,0.000339
LQD,016419,20150210,120.9300000,-0.002721
LQD,016419,20141029,119.0500000,-0.002848
LQD,016419,20140805,118.6400000,0.000337
LQD,016419,20140717,119.2500000,0.004295
